term,coef,robust_se,p_value,ci_low,ci_high
const,1.4666081775912727,0.11804127623100477,1.9233727604014733e-35,1.2352515274893594,1.697964827693186
brent_lag1,0.005838758730526716,0.0004929395336446013,2.2902741674439184e-32,0.0048726149980273265,0.006804902463026105
fx,-0.5044291072289513,0.11103823960982522,5.550101968614576e-06,-0.7220600577709375,-0.286798156686965
covid_post,-0.08532256999174385,0.060460566586414084,0.15818263504722518,-0.20382310298600126,0.03317796300251355
brent_lag1_x_covid_post,0.003114623403884807,0.0009059464322657345,0.0005860765054614785,0.0013390010247214118,0.004890245783048202
